id,x,y,z
1.0,4.83923,-10.26498,-10.55362
2.0,5.35623,-9.48336,-10.22012
3.0,5.15619,-8.94864,-9.41775
4.0,4.61327,-8.90183,-8.56002
5.0,4.56454,-9.83722,-9.12421
6.0,5.47212,-9.74282,-8.44722
7.0,6.40759,-10.12406,-8.58818
8.0,6.2875,-10.65013,-9.52286
9.0,7.21152,-10.76032,-10.0152
10.0,7.85763,-11.00111,-10.65938
11.0,7.69566,-11.92066,-10.72091
12.0,7.71722,-12.92059,-10.85427
13.0,8.11416,-13.48651,-11.59557
14.0,7.60339,-13.96718,-12.39493
15.0,7.91517,-14.98134,-12.02567
16.0,8.66268,-15.10425,-12.77285
17.0,9.26022,-15.13704,-13.53667
18.0,8.89964,-16.04903,-13.41379
19.0,8.64891,-16.84631,-12.84391
20.0,8.54406,-17.84584,-12.88824
21.0,9.13943,-18.57291,-12.98891
22.0,9.37213,-19.68708,-12.80043
23.0,9.58974,-20.71958,-12.74206
24.0,8.71314,-21.35097,-12.91327
25.0,9.37278,-21.96424,-13.36784
26.0,10.11053,-22.48672,-13.8203
27.0,10.35742,-23.34492,-13.81857
28.0,11.01989,-23.89048,-14.31939
29.0,10.16023,-24.4794,-14.14523
30.0,9.53337,-24.83208,-13.45536
31.0,9.1146,-25.66723,-13.17657
32.0,8.76589,-26.6034,-13.37171
33.0,8.86328,-27.56175,-13.39981
34.0,8.83994,-28.54145,-13.5746
35.0,8.14606,-29.28676,-13.60185
36.0,7.41581,-29.69667,-14.21746
37.0,6.48413,-29.95672,-14.5516
38.0,5.86485,-30.53476,-15.08868
39.0,5.09966,-30.96631,-14.75744
40.0,4.64352,-31.95814,-14.98632
41.0,4.28217,-32.59956,-15.65363
42.0,3.69473,-33.37898,-15.32891
43.0,2.9949,-34.1724,-15.60686
44.0,2.55833,-34.99648,-16.04812
45.0,1.65199,-34.81396,-16.35102
46.0,0.83637,-34.68424,-16.8438
47.0,-0.0837,-35.13961,-17.0849
48.0,-0.82086,-35.79067,-17.0407
