id,x,y,z
49.0,-1.39686,-35.56108,-16.27345
50.0,-2.19834,-36.11932,-16.09605
51.0,-2.49679,-36.98407,-15.63877
52.0,-3.05089,-37.83529,-15.81676
53.0,-3.65765,-38.50187,-15.56308
54.0,-4.5331,-38.60244,-16.05802
55.0,-4.892,-37.80105,-16.50296
56.0,-5.77038,-37.64056,-15.92327
57.0,-6.77716,-37.34415,-15.94654
58.0,-5.93438,-37.72482,-15.37063
59.0,-5.62138,-38.46504,-14.77017
60.0,-4.68278,-38.56088,-15.13928
61.0,-4.25208,-39.50457,-15.23845
62.0,-5.00964,-39.35359,-14.5923
63.0,-5.87034,-39.53951,-14.1813
64.0,-5.57112,-40.40343,-14.54765
65.0,-5.93247,-40.69897,-13.71051
66.0,-6.62233,-40.53714,-12.91659
67.0,-7.58042,-40.87782,-12.5896
68.0,-8.19155,-41.35283,-13.17599
69.0,-8.76392,-41.79001,-14.00582
70.0,-8.93246,-40.98829,-14.68979
71.0,-8.50709,-40.08902,-14.80587
72.0,-9.26319,-39.74312,-15.37729
73.0,-8.92799,-38.91088,-14.88377
74.0,-9.69634,-38.38546,-15.1496
75.0,-9.30445,-38.60945,-16.13445
76.0,-9.13648,-37.92316,-16.73648
77.0,-8.35007,-37.2384,-16.33502
78.0,-7.70061,-37.12797,-15.49505
79.0,-8.00879,-38.11859,-15.35985
80.0,-7.28911,-37.50165,-15.64234
81.0,-7.17361,-38.13953,-14.87566
82.0,-6.80062,-38.99281,-14.51135
83.0,-7.56656,-38.77519,-15.05231
84.0,-6.64,-38.52833,-14.77308
85.0,-7.1253,-39.37476,-15.11861
86.0,-6.09883,-39.65128,-15.27943
87.0,-6.83074,-39.05745,-15.13772
88.0,-7.59308,-39.53075,-15.31798
89.0,-7.7366,-40.09822,-16.13408
90.0,-7.28391,-39.66917,-15.35874
91.0,-7.93224,-40.20963,-15.79925
92.0,-8.8647,-40.5522,-16.1843
93.0,-9.26284,-39.65661,-16.67075
94.0,-9.14311,-38.89603,-17.33127
95.0,-8.18489,-38.97282,-16.98302
96.0,-7.9552,-40.05887,-16.73703
97.0,-7.39589,-40.81968,-16.76507
98.0,-7.78106,-40.3453,-15.97107
99.0,-8.05543,-39.78847,-16.80712
100.0,-7.60656,-39.01736,-16.38774
101.0,-7.22509,-38.07991,-16.54603
102.0,-6.95596,-38.72291,-15.84316
103.0,-6.00675,-38.53507,-16.28857
104.0,-6.98125,-38.56612,-15.97675
105.0,-6.76592,-38.1297,-16.76674
106.0,-7.62562,-38.43015,-17.25063
107.0,-7.37131,-37.44444,-17.51351
108.0,-6.74818,-38.1958,-17.6155
109.0,-7.54575,-38.63894,-17.16026
110.0,-7.74887,-39.25179,-16.44359
111.0,-7.19363,-40.00251,-16.74995
112.0,-8.01326,-39.90571,-17.26189
113.0,-7.55056,-39.15497,-17.79886
114.0,-7.39071,-40.12321,-17.79151
115.0,-7.75021,-39.20634,-17.60662
116.0,-7.46198,-38.56572,-16.95655
117.0,-8.08034,-39.06343,-16.37129
118.0,-7.39543,-39.20909,-17.15702
119.0,-6.94343,-38.49281,-17.65182
120.0,-7.63416,-38.39958,-16.85885
121.0,-7.64373,-39.06226,-17.56773
122.0,-6.82592,-38.80643,-18.02848
123.0,-6.62026,-39.17072,-17.13771
124.0,-7.18522,-39.823,-17.65088
125.0,-7.45785,-40.76622,-17.4447
126.0,-7.58126,-40.69268,-16.44302
127.0,-8.09956,-39.80815,-16.32976
128.0,-7.41721,-40.57322,-16.09198
129.0,-7.82317,-39.68447,-16.11906
130.0,-7.26227,-39.00894,-15.64376
131.0,-7.8345,-38.53884,-16.28879
132.0,-6.85644,-38.49373,-16.34918
133.0,-5.95656,-38.11865,-16.33548
134.0,-5.86353,-38.8098,-17.02598
135.0,-5.02625,-39.1589,-17.16975
136.0,-5.54366,-38.98274,-16.21137
137.0,-5.49873,-40.04056,-15.85536
138.0,-5.25196,-39.77184,-16.76863
139.0,-5.62815,-38.96192,-17.35961
140.0,-5.85699,-40.00089,-17.26976
141.0,-5.1089,-39.72235,-16.59163
142.0,-5.40833,-39.6376,-17.54723
143.0,-5.87475,-38.82763,-17.51028
144.0,-6.56019,-38.2402,-17.14646
145.0,-5.59196,-38.58374,-17.53039
146.0,-5.41871,-39.2095,-16.70381
147.0,-6.09798,-38.28014,-16.78417
148.0,-5.37705,-38.85485,-16.88505
149.0,-5.73484,-38.67755,-16.02628
150.0,-5.28037,-39.55287,-15.94568
151.0,-5.23006,-39.17007,-16.87075
152.0,-5.86114,-38.44911,-16.56154
153.0,-6.53445,-37.99128,-17.07801
154.0,-7.30877,-38.536,-16.82512
155.0,-7.73741,-39.19403,-17.44423
156.0,-7.66236,-38.64682,-16.53649
157.0,-7.83017,-39.31345,-15.90089
158.0,-7.93875,-39.40838,-16.8893
159.0,-7.75324,-40.48845,-16.7829
160.0,-7.9749,-39.69164,-17.33196
161.0,-7.39353,-40.52587,-17.16289
162.0,-7.11172,-40.96447,-16.34887
163.0,-7.54674,-40.13115,-15.88211
164.0,-6.75549,-39.95425,-15.23272
165.0,-7.25277,-39.30248,-15.71427
166.0,-8.15128,-39.52039,-16.10855
167.0,-7.1599,-39.98356,-15.81189
168.0,-6.78936,-39.23075,-15.28576
169.0,-6.18257,-38.66673,-15.83837
170.0,-7.14914,-38.37725,-16.21726
171.0,-6.35103,-37.97142,-16.68457
172.0,-6.45165,-38.99807,-16.91376
173.0,-5.8206,-38.42543,-17.38555
174.0,-5.19903,-39.05527,-16.77783
175.0,-5.45261,-39.23822,-15.72598
176.0,-5.21247,-38.75666,-16.61952
177.0,-5.2118,-39.60869,-17.26273
178.0,-5.74324,-40.48337,-17.35728
179.0,-5.97401,-40.82809,-16.43313
180.0,-6.74646,-41.05438,-17.10056
181.0,-6.19052,-40.6886,-17.7753
182.0,-5.26501,-40.36514,-17.41745
183.0,-5.64977,-39.55377,-17.7995
184.0,-6.67029,-39.46366,-18.2517
185.0,-6.04469,-40.26589,-17.99035
186.0,-5.88187,-39.29687,-18.01932
187.0,-5.61006,-40.10793,-17.53934
188.0,-5.44051,-40.1429,-16.56234
189.0,-5.84729,-40.76608,-15.91978
190.0,-6.09174,-40.93319,-16.83437
191.0,-5.70432,-40.30649,-16.16037
192.0,-6.02021,-39.86247,-15.30399
193.0,-6.12618,-38.78756,-15.60823
194.0,-6.96545,-38.40772,-15.86333
195.0,-6.19197,-39.06321,-15.69906
196.0,-7.22115,-38.54511,-16.00647
197.0,-6.24918,-38.51029,-15.89806
198.0,-5.8339,-39.42013,-15.52899
199.0,-5.02346,-39.61999,-16.14682
200.0,-5.31911,-40.17065,-16.95716
201.0,-5.70091,-40.79847,-17.67273
202.0,-5.57449,-40.68083,-16.70587
203.0,-5.90724,-40.15682,-15.99992
204.0,-6.11755,-39.39423,-15.35182
205.0,-5.83874,-38.83436,-16.07903
206.0,-5.92634,-38.21644,-16.76444
207.0,-5.64842,-38.41188,-17.73909
208.0,-6.57492,-38.79808,-18.02042
209.0,-6.88114,-39.795,-18.15091
210.0,-6.28931,-38.92488,-18.14428
211.0,-5.78486,-39.79826,-17.95579
212.0,-6.72283,-39.43711,-18.19015
213.0,-6.9475,-38.50079,-18.17109
214.0,-6.22061,-39.23513,-18.16933
215.0,-7.16648,-39.29427,-18.02174
216.0,-6.19359,-39.34337,-17.8913
217.0,-6.76768,-39.99268,-18.36129
218.0,-7.02322,-39.38151,-17.58145
219.0,-6.87897,-40.28421,-17.96453
220.0,-5.93103,-40.41716,-17.45707
221.0,-6.34081,-39.66871,-17.94812
222.0,-6.5229,-38.66068,-17.78842
223.0,-6.92034,-39.51005,-17.81978
224.0,-7.67849,-40.06663,-17.62719
225.0,-7.11465,-40.86329,-17.58403
226.0,-7.60755,-39.9445,-17.77528
227.0,-7.73195,-40.61932,-17.12454
228.0,-6.83399,-40.90662,-17.46202
229.0,-6.10039,-41.27612,-16.80349
230.0,-5.31937,-40.5546,-16.63335
231.0,-6.0448,-40.90953,-17.23434
232.0,-6.51288,-40.56069,-18.02705
233.0,-6.82398,-40.95212,-17.15763
234.0,-6.42555,-40.56887,-17.96414
235.0,-7.22183,-40.72105,-17.16655
236.0,-6.53052,-40.85027,-16.41044
237.0,-6.53442,-40.26104,-15.43815
238.0,-7.28522,-39.52617,-15.64717
239.0,-6.97294,-40.3949,-15.28614
240.0,-6.18855,-40.89259,-15.70494
241.0,-6.83158,-41.09272,-16.39943
242.0,-6.40278,-40.43894,-17.16249
243.0,-7.27729,-40.74544,-16.68471
244.0,-6.47681,-40.92882,-15.97345
245.0,-5.55235,-40.53648,-15.62219
246.0,-6.2854,-40.72886,-16.17061
247.0,-5.52945,-40.04383,-16.14194
248.0,-6.16748,-40.51319,-15.39276
249.0,-5.69347,-39.70641,-15.50991
250.0,-6.55629,-39.96178,-15.21385
251.0,-7.26621,-40.40233,-15.7543
252.0,-6.79127,-40.9816,-16.40161
253.0,-6.82372,-40.10301,-15.84075
254.0,-6.01242,-40.67248,-15.91408
